Time:1000Hz,Epoch,Channel 1,Channel 2,Event Id,Event Date,Event Duration
0.158,158,-30632.32,8490.43,,,
0.159,159,-30617.44,8508.98,,,
0.16,160,-30604.99,8523.77,,,
0.161,161,-30597.39,8532.13,,,
0.162,162,-30596.28,8532.83,,,
0.163,163,-30601.93,8526.41,,,
0.164,164,-30613.13,8514.8,,,
0.165,165,-30627.54,8500.53,,,
0.166,166,-30642.45,8485.97,,,
0.167,167,-30655.56,8472.81,,,
0.168,168,-30665.41,8462.05,,,
0.169,169,-30671.38,8454.36,,,
0.17,170,-30673.34,8450.36,,,
0.171,171,-30671.25,8450.79,,,
0.172,172,-30665.03,8456.15,,,
0.173,173,-30654.76,8466.27,,,
0.174,174,-30641.13,8479.94,,,
0.175,175,-30625.76,8494.93,,,
0.176,176,-30611.1,8508.5,,,
0.177,177,-30599.98,8518.17,,,
0.178,178,-30594.73,8522.41,,,
0.179,179,-30596.56,8520.92,,,
0.18,180,-30605.14,8514.49,,,
0.181,181,-30618.88,8504.52,,,
0.182,182,-30635.4,8492.57,,,
0.183,183,-30652.22,8480.1,,,
0.184,184,-30667.1,8468.48,,,
0.185,185,-30678.3,8459.09,,,
0.186,186,-30684.44,8453.37,,,
0.187,187,-30684.6,8452.5,,,
0.188,188,-30678.41,8456.98,,,
0.189,189,-30666.36,8466.26,,,
0.19,190,-30649.98,8478.69,,,
0.191,191,-30631.81,8491.97,,,
0.192,192,-30614.82,8503.82,,,
0.193,193,-30601.76,8512.69,,,
0.194,194,-30594.41,8518,,,
0.195,195,-30593.24,8519.98,,,
0.196,196,-30597.62,8519.03,,,
0.197,197,-30606.32,8515.22,,,
0.198,198,-30618.14,8508.16,,,
0.199,199,-30632.21,8497.36,,,
0.2,200,-30647.82,8483.01,,,
0.201,201,-30664,8466.59,,,
0.202,202,-30679.03,8450.97,,,
0.203,203,-30690.36,8439.75,,,
0.204,204,-30695.13,8436.17,,,
0.205,205,-30691.1,8441.94,,,
0.206,206,-30677.64,8456.54,,,
0.207,207,-30656.27,8477.34,,,
0.208,208,-30630.59,8500.44,,,
0.209,209,-30605.37,8521.77,,,
0.21,210,-30585.34,8538.06,,,
0.211,211,-30573.96,8547.32,,,
0.212,212,-30572.71,8548.79,,,
0.213,213,-30580.95,8542.66,,,
0.214,214,-30596.43,8529.8,,,
0.215,215,-30615.97,8511.68,,,
0.216,216,-30636.24,8490.51,,,
0.217,217,-30654.24,8469.25,,,
0.218,218,-30667.56,8451.31,,,
0.219,219,-30674.53,8439.86,,,
0.22,220,-30674.27,8437,,,
0.221,221,-30666.8,8443.11,,,
0.222,222,-30653.13,8456.71,,,
0.223,223,-30635.2,8474.91,,,
0.224,224,-30615.72,8494.31,,,
0.225,225,-30597.68,8511.93,,,
0.226,226,-30583.81,8525.76,,,
0.227,227,-30576.03,8534.8,,,
0.228,228,-30575.13,8538.8,,,
0.229,229,-30580.69,8537.78,,,
0.23,230,-30591.35,8531.82,,,
0.231,231,-30605.2,8521.24,,,
0.232,232,-30620.28,8506.87,,,
0.233,233,-30634.92,8490.44,,,
0.234,234,-30647.77,8474.52,,,
0.235,235,-30657.77,8462.03,,,
0.236,236,-30664,8455.5,,,
0.237,237,-30665.56,8456.31,,,
0.238,238,-30661.74,8464.19,,,
0.239,239,-30652.38,8477.37,,,
0.24,240,-30638.18,8493.05,,,
0.241,241,-30620.96,8508.2,,,
0.242,242,-30603.44,8520.33,,,
0.243,243,-30588.69,8527.93,,,
0.244,244,-30579.31,8530.58,,,
0.245,245,-30576.67,8528.72,,,
0.246,246,-30580.6,8523.28,,,
0.247,247,-30589.54,8515.3,,,
0.248,248,-30601.28,8505.67,,,
0.249,249,-30613.69,8495.1,,,
0.25,250,-30625.34,8484.18,,,
0.251,251,-30635.51,8473.6,,,
0.252,252,-30643.9,8464.36,,,
0.253,253,-30650.04,8457.76,,,
0.254,254,-30652.99,8455.3,,,
0.255,255,-30651.58,8458.18,,,
0.256,256,-30645,8466.82,,,
0.257,257,-30633.58,8480.41,,,
0.258,258,-30619.12,8496.86,,,
0.259,259,-30604.65,8513.13,,,
0.26,260,-30593.43,8526.09,,,
